mCherry.A.FITC.A,file
2.095159,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.264591,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.106714,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.246796,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.082205,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.398797,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.011758,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.507642,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.601569,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.396828,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.352483,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.41253,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.353062,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.209867,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.859542,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.128622,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.604937,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.268505,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.438238,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.840204,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.577491,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.899959,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.584015,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.234427,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.68319,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.499645,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.802966,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.266465,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.478943,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.607157,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.625707,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.966398,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.697874,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.928764,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.621037,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.91589,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.008215,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.281353,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.783411,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.35066,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.778518,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.453611,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.000127,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.862911,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.4975,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.525336,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.402409,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.350428,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.004681,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.028505,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.41351,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.258106,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.371086,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
