mCherry.A.Comp.FITC.A,file
4.11024,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.97044,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.483238,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.254665,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.459841,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.907705,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.045415,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.615916,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.03972,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.328439,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.002342,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.408206,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.909084,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.357497,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.735265,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.414787,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.871011,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.782912,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.639461,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.562292,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.056062,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.831011,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.129101,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.552587,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.301557,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.953236,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.328744,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.147112,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.797945,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.456701,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.086377,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.642504,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.870329,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.837077,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.849716,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.630306,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.8271,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.894509,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.20342,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.988343,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.883761,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.548448,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.057578,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.584522,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.373206,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.861438,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.07148,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
4.081892,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.295127,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.410273,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.065113,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.802629,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.085626,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
4.425009,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.410184,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.562898,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.70045,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.518987,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.119215,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.319112,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.119746,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.770357,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.923455,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.375932,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.087623,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.407407,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.166206,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.414187,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.8048,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.822027,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.292051,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
4.582965,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.99264,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.115979,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.137019,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.981843,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.143816,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.343331,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.350112,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.127257,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
